multiplier,baseline,seed_base,episodes,num_envs,config,out_dir,reward_sum,processed_ratio_eval,drop_ratio_eval,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio,pre_backlog_steps_eval,D_sys_report,queue_total_mean,gu_queue_mean,uav_queue_mean,sat_queue_mean,sat_overlap_eval,collision_episode_fraction,terminated_early,episode_length,outflow_arrival_ratio,sat_processed_arrival_ratio
2.0,maxweight_lyapunov,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed980000/maxweight_lyapunov,35.55001763126347,0.689115406211147,0.26489567238640943,0.24616637736069077,0.018729373689833805,0.0,9.386158716239022,14.53443028401844,751295053.5576962,11680842.189580308,47276500.1240336,2794.202968976498,0.9934448182416457,0.140625,0.140625,242.09375,0.7269723885292128,0.6891158031088932
2.0,cluster_center_queue_aware,981000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed981000/cluster_center_queue_aware,40.0137575562112,0.7857103387055028,0.14880043341035867,0.0912152192590297,0.057585172136120265,0.0,10.780215958574157,15.027894842102574,867427079.7543813,6508773.346905432,100344388.76723373,34790.3671672689,0.8824593700745869,0.078125,0.078125,234.734375,0.8895976282997182,0.7857104291993846
2.0,observable_cluster_queue_aware,981000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed981000/observable_cluster_queue_aware,20.595701681566425,0.6236669170926421,0.26803537898660157,0.2673678630776945,0.0006674179541907219,0.0,7.043904147870359,12.631138958201822,563996936.7787923,11825784.579992041,15080157.016491175,3365.3573206003725,0.9481870080333131,0.640625,0.640625,141.546875,0.6452522512191543,0.6236668680284376
2.0,maxweight_lyapunov,981000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed981000/maxweight_lyapunov,34.77815143472981,0.7134837116121693,0.23632574783226654,0.22374432074708422,0.012581165426541025,0.0,8.61623754570101,13.01347887657258,690083896.4725826,11205084.201121729,40182604.611544825,5450.699461298389,0.9898018642648078,0.203125,0.203125,233.75,0.7466559632346246,0.7134833936138427
2.0,cluster_center_queue_aware,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed982000/cluster_center_queue_aware,41.59999784396496,0.7874622674603383,0.15024474876420818,0.0893589925767638,0.06088593067466777,0.0,11.427145740890971,16.03612960330532,917295360.5581188,6630013.862583912,108161849.14954247,21692.44058387799,0.8657666787374766,0.03125,0.03125,244.578125,0.9001772564733546,0.7874621897559845
2.0,observable_cluster_queue_aware,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed982000/observable_cluster_queue_aware,22.34917834890075,0.6109170235403336,0.28293607699286377,0.28237879472220606,0.0005572588290533012,0.0,7.663522030011479,14.294520156834038,613481342.1001331,12974972.496697221,15680475.870688668,2774.9088974756605,0.9450669818481353,0.703125,0.703125,156.515625,0.6233190700572306,0.6109165462690107
2.0,maxweight_lyapunov,982000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x2p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x2p0/seed982000/maxweight_lyapunov,36.08456755906809,0.7105333895170565,0.24162918192985278,0.2236287460341669,0.018000392797073245,0.0,9.377374172583702,14.315775029389366,750799348.6190019,11457594.3641018,48647691.717940904,4232.107819600005,0.9916907504780236,0.15625,0.15625,244.296875,0.7514161380285305,0.7105334131291324
3.0,cluster_center_queue_aware,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x3p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x3p0/seed980000/cluster_center_queue_aware,47.42791015736293,0.8224415521648,0.1350297820122415,0.04623039772911106,0.08879948121098899,0.0,8.523340729776967,11.813023772832697,693448882.2009363,3247630.3886445933,91993672.45970589,80427.99842634492,0.7985446856383456,0.03125,0.03125,245.9375,0.9511211124834534,0.8224420051332555
3.0,observable_cluster_queue_aware,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x3p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x3p0/seed980000/observable_cluster_queue_aware,23.295497733168304,0.6821858973171858,0.20120887910596263,0.19226977914571078,0.008939511109814946,0.0,6.73620914139328,11.628635800509565,542594740.6011385,9382174.130810393,27268293.246388175,25680.664810321738,0.871496266051964,0.609375,0.609375,148.90625,0.7271105519432063,0.6821864236439078
3.0,maxweight_lyapunov,980000,64,64,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/configs/main_6uav40gu_density_ctrl_resource_x3p0_t250.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav40_density_resource_sweep_baseline_20260711_175223/formal/x3p0/seed980000/maxweight_lyapunov,41.74416028056294,0.8007952753245502,0.16925645656569757,0.13114226087685577,0.03811427054392921,0.0,6.9279016648402285,9.741255126125425,557391768.4792349,7529091.041051345,42178080.876474336,21941.956389318868,0.9757451539282981,0.078125,0.078125,245.90625,0.8547063886155419,0.8007957245262578
