sweep,point_index,multiplier,task_arrival_rate_bits_per_gu_slot,task_arrival_rate_mbit_per_gu_slot,b_acc_hz,b_acc_mhz,b_backhaul_per_sat_hz,b_backhaul_per_sat_mhz,sat_cpu_freq_hz,sat_cpu_freq_gbps_equiv,method_id,paper_label,method_family,n_rows,n_training_seeds,n_eval_seed_bases,episodes_per_eval_seed_base,total_episodes,reward_sum_mean,reward_sum_std,processed_ratio_eval_mean,processed_ratio_eval_std,drop_ratio_eval_mean,drop_ratio_eval_std,pre_backlog_steps_eval_mean,pre_backlog_steps_eval_std,D_sys_report_mean,D_sys_report_std,queue_total_mean_mean,queue_total_mean_std,collision_episode_fraction_mean,collision_episode_fraction_std,sat_overlap_eval_mean,sat_overlap_eval_std,episode_length_mean,episode_length_std,arrival_step_mean_mean,arrival_step_mean_std,outflow_arrival_ratio_mean,outflow_arrival_ratio_std
load,4,1.25,2500000.0,2.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,43.208107931966275,0.2693175972365274,0.8043195791117226,0.006617408840128839,0.162151722808578,0.005181454157575093,7.090009239720337,0.1987163027772128,10.572255180985278,0.34617209822918016,354500464.12420833,9935815.199518494,0.005208333333333333,0.009021097956087902,0.7618333399947738,0.011937640611909257,248.95833333333334,1.8042195912175805,50000015.10966666,46.93205001292086,0.814559635913523,0.006567400184022829
load,4,1.25,2500000.0,2.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,40.196888230314165,0.5658194189831867,0.7520176318851298,0.006711919049364854,0.2125524490878479,0.005473368703280292,8.204105201427748,0.3133325148662426,12.607399654983308,0.7376399923730659,410205262.573625,15666625.88904262,0.0,0.0,0.9679131962644558,0.0005867028032855812,250.0,0.0,50000014.385416664,48.15823495040604,0.7587269410587857,0.005961147997780778
load,4,1.25,2500000.0,2.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,queue_aware_bw,QBS,fixed,3,0,3,64.0,192,32.537949333976336,0.418854245865634,0.3981558693470822,0.018795039698627235,0.5230965366287421,0.019556204749486765,14.898002228788723,0.5157568876682965,41.66310962239342,4.184736690996681,744900115.8538749,25787844.38424573,0.005208333333333333,0.009021097956087902,1.0,0.0,248.703125,2.246253391065888,49999972.38966666,120.2595534593448,0.4309609639905522,0.014461996716132021
load,4,1.25,2500000.0,2.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,static_uniform,Uniform,fixed,3,0,3,64.0,192,32.856725056190044,0.4409179410585579,0.39990062246316427,0.013978119777720857,0.5437093892998954,0.016196975795501688,11.897950173755644,0.441383563529992,37.57685757956234,4.26836309710903,594897511.5127915,22069178.386231028,0.005208333333333333,0.009021097956087902,0.48287848269101225,0.001331718320960347,248.703125,2.246253391065888,49999972.38966666,120.2595534593448,0.4005604769677838,0.013609075693366994
load,5,1.50,3000000.0,3.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,9,3,3,64.0,576,42.57394482836955,0.46005577940209313,0.7390841864751808,0.011388377530897298,0.2338494180147084,0.008571810623327382,6.214116131337865,0.3080458891639175,10.49526320649741,0.798196884152348,372846976.9055834,18482753.782748125,0.005208333333333333,0.0078125,0.5666209606464468,0.03267531859883324,248.77951388888889,1.841455213280345,59999982.90902777,100.32609530444057,0.7414335020155723,0.01094380376750988
load,5,1.50,3000000.0,3.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,globalcritic,STARS-GC,learned,9,3,3,64.0,576,37.61473117101317,3.8346190366295825,0.6053307719542461,0.09660689312345705,0.35912841202988544,0.08952290760984313,7.062307908877898,0.8620766311466372,15.592071684561663,4.819431038369602,423738484.63027674,51724598.880946904,0.03298611111111111,0.027559909490256152,0.8220190155152637,0.12906348730780567,244.78645833333334,4.007020511415714,60000003.65799134,65.15630684278096,0.6061592562495431,0.09647307050623063
load,5,1.50,3000000.0,3.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,41.16555630388515,0.17971201103641773,0.7200759615704884,0.0046974757099940935,0.24515405811893667,0.004351841177903356,7.090972914682081,0.18601019648721837,11.533941844773791,0.24493188597429527,425458384.95762503,11160612.033806669,0.005208333333333333,0.009021097956087902,0.7618333399947738,0.011937640611909257,248.95833333333334,1.8042195912175805,60000012.79,51.21499389800005,0.7303566365102853,0.004964647251468022
load,5,1.50,3000000.0,3.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,39.229889218579046,0.49999639818501435,0.6745294763354275,0.006884548583793411,0.29119347435457843,0.006423747557318295,7.778930836714495,0.2199468809926913,13.138330608258336,0.6813310394085221,466735861.3215416,13196813.010802006,0.0,0.0,0.962388890999059,0.0016957850217610192,250.0,0.0,60000011.99841666,52.554481042847456,0.6812566985075256,0.0062993139766869
load,5,1.50,3000000.0,3.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,queue_aware_bw,QBS,fixed,3,0,3,64.0,192,32.286634361099765,0.39706743584417714,0.34254839471238663,0.016514902669700255,0.5871299752129634,0.01862859405059097,13.357298910835755,0.4076370845360406,42.80493057905448,3.8761178935798997,801437953.715,24458225.645333253,0.005208333333333333,0.009021097956087902,1.0,0.0,248.703125,2.246253391065888,59999965.99741666,131.51815255019682,0.37396255488287555,0.01343886290275501
load,5,1.50,3000000.0,3.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,static_uniform,Uniform,fixed,3,0,3,64.0,192,32.6323576720121,0.4244027949061533,0.3459523375690915,0.012890071103297231,0.6041692544917446,0.01615417489091907,10.494719156666351,0.3347406408101176,37.79997006596004,4.0889255928542125,629683164.1846665,20084438.99988956,0.005208333333333333,0.009021097956087902,0.48287848269101225,0.001331718320960347,248.703125,2.246253391065888,59999965.99741666,131.51815255019682,0.3465878827863501,0.012624870153004482
load,6,1.75,3500000.0,3.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,9,3,3,64.0,576,41.18743030148713,0.4341096978088484,0.6622289910432799,0.01085925758262534,0.30859229213143524,0.009240746956668886,6.283270138476226,0.305540026974733,11.858627581461322,1.0165122203123849,439828892.9434625,21387801.098700818,0.008680555555555556,0.008235098073355155,0.5827023856259755,0.03521342718048949,248.15798611111111,1.8362773030692725,69999988.3352804,113.67041349428595,0.6656318302545435,0.010243103728453795
load,6,1.75,3500000.0,3.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,globalcritic,STARS-GC,learned,9,3,3,64.0,576,37.3632472233407,3.208699682194151,0.5445265275801711,0.08648170449002542,0.4231948645848331,0.07970410544723473,6.654993020175763,0.6001018677511459,16.0104095298241,4.415950615616488,465849494.18506294,42007129.04906189,0.04513888888888889,0.041666666666666664,0.8210915570814036,0.13264018412396422,244.62673611111111,4.328565272933817,70000004.99445648,88.92194286631855,0.5454844326800353,0.08636019490896502
load,6,1.75,3500000.0,3.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,40.259605698442705,0.1575419692899378,0.6477761131479249,0.0027504243154705633,0.31815346263590766,0.0030596777494070536,6.80344695474518,0.1708879487697247,12.121733340979244,0.22035107345279265,476241268.60264593,11962155.8211385,0.005208333333333333,0.009021097956087902,0.7618333399947738,0.011937640611909257,248.95833333333334,1.8042195912175805,70000014.36033334,55.388390901394814,0.6577894526917135,0.0033394889303534044
load,6,1.75,3500000.0,3.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,38.853218684632644,0.4675354250548787,0.6101678935203625,0.006497262459710577,0.3574032048599109,0.006359020174267284,7.238404093775277,0.17150329580224363,13.390932249201459,0.6544774652659893,506688267.2078125,12005230.256533999,0.0,0.0,0.9581076412138838,0.001220232877136001,250.0,0.0,70000013.50066666,56.843049577301564,0.6169578197411307,0.006155470206725122
load,6,1.75,3500000.0,3.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,queue_aware_bw,QBS,fixed,3,0,3,64.0,192,32.122554137643114,0.3941983343622851,0.3003564577134869,0.014783328927897608,0.6361283070492364,0.017885314943333723,12.060840499586737,0.3118725455875272,43.747890732899315,3.6082372384727663,844258802.8445417,21831077.442548033,0.005208333333333333,0.009021097956087902,1.0,0.0,248.703125,2.246253391065888,69999963.795,142.1648217494522,0.32993119113905267,0.012751924570748613
load,6,1.75,3500000.0,3.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,static_uniform,Uniform,fixed,3,0,3,64.0,192,32.47339092497714,0.4127537726134355,0.3048779985878306,0.011865082493197272,0.6503161037561378,0.015859160689257593,9.385580058115224,0.2715170615876471,37.97218441203732,3.9865767659601783,656990579.45725,19006193.493560612,0.005208333333333333,0.009021097956087902,0.48287848269101225,0.001331718320960347,248.703125,2.246253391065888,69999963.795,142.1648217494522,0.30550271776863486,0.011681894449283067
load,7,2.00,4000000.0,4.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,9,3,3,64.0,576,40.56043991165805,0.3941332147390418,0.5980115238378074,0.011440683084236026,0.3740449534091001,0.00934510587578975,6.1370362364318245,0.2990524159887394,12.78286068192385,1.1859576587267724,490962893.01952106,23924193.00520813,0.005208333333333333,0.0078125,0.5927907866711781,0.03700437653769621,248.765625,1.8586691149600163,79999981.02174324,115.94694077746765,0.6017609360344616,0.010371434125970995
load,7,2.00,4000000.0,4.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,globalcritic,STARS-GC,learned,9,3,3,64.0,576,37.35901822229304,2.6943790891292214,0.49467450934690654,0.075866780074314,0.4760340560389563,0.07145174105246632,6.217733658532322,0.4858545533013369,16.095454091844672,4.329572123868853,497418686.9415366,38868363.96843675,0.036458333333333336,0.04207160005573831,0.8182942236348761,0.13760768682847044,245.46354166666666,5.210269822292676,79999996.1852949,90.76427321211276,0.4959357714000997,0.07565679835216543
load,7,2.00,4000000.0,4.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,39.72967459536934,0.1451679651071006,0.5867994335601883,0.002167216951650963,0.38076162088531146,0.002589616362345758,6.400398699221512,0.15322663640486806,12.453894056119024,0.21494061228890973,512031889.94741666,12258130.769014467,0.005208333333333333,0.009021097956087902,0.7618333399947738,0.011937640611909257,248.95833333333334,1.8042195912175805,80000015.54316667,59.25540519258987,0.5963381457114655,0.002638566579700837
