method,training_seed,update,best_reward
STARS-GC,73129,75,33.75611753948033
STARS-GC,73129,100,35.58743975730613
STARS-GC,73129,125,36.33558949548751
STARS-GC,73129,150,36.33558949548751
STARS-GC,73129,175,36.33558949548751
STARS-GC,73129,200,36.33558949548751
STARS-GC,73129,225,36.33558949548751
STARS-GC,73129,250,36.33558949548751
STARS-GC,73129,275,36.613825710257515
STARS-GC,73129,300,36.613825710257515
STARS-GC,73129,325,37.19436391466297
STARS-GC,73129,350,37.19436391466297
STARS-GC,73129,375,37.19436391466297
STARS-GC,73129,400,37.19436391466297
STARS-GC,73129,425,37.19436391466297
STARS-GC,73129,450,37.19436391466297
STARS-GC,73129,475,37.19436391466297
STARS-GC,73129,500,37.19436391466297
STARS-GC,73129,525,37.19436391466297
STARS-GC,87539,25,33.39461791701615
STARS-GC,87539,50,33.97217125375755
STARS-GC,87539,75,33.97217125375755
STARS-GC,87539,100,35.78737682150677
STARS-GC,87539,125,36.2846300911624
STARS-GC,87539,150,38.44304462801665
STARS-GC,87539,175,42.25896272924729
STARS-GC,87539,200,53.88005356607027
STARS-GC,87539,225,58.53793315589428
STARS-GC,87539,250,65.54639880498871
STARS-GC,87539,275,66.76855853525922
STARS-GC,87539,300,66.8298994791694
STARS-GC,87539,325,66.8298994791694
STARS-GC,87539,350,66.8298994791694
STARS-GC,87539,375,66.8298994791694
STARS-GC,87539,400,66.8298994791694
STARS-GC,87539,425,66.8298994791694
STARS-GC,87539,450,66.8298994791694
STARS-GC,87539,475,66.8298994791694
STARS-GC,87539,500,66.8298994791694
STARS-GC,87539,525,66.8298994791694
STARS-GC,91457,25,33.64610406756401
STARS-GC,91457,50,33.64610406756401
STARS-GC,91457,75,34.709771344671026
STARS-GC,91457,100,34.709771344671026
STARS-GC,91457,125,36.05378283071332
STARS-GC,91457,150,38.3862521154806
STARS-GC,91457,175,39.28159509296529
STARS-GC,91457,200,39.28159509296529
STARS-GC,91457,225,39.28159509296529
STARS-GC,91457,250,39.28159509296529
STARS-GC,91457,275,39.28159509296529
STARS-GC,91457,300,39.28159509296529
STARS-GC,91457,325,39.28159509296529
STARS-GC,91457,350,39.28159509296529
STARS-GC,91457,375,39.28159509296529
STARS-GC,91457,400,39.28159509296529
STARS-GC,91457,425,39.28159509296529
STARS-GC,91457,450,39.28159509296529
STARS-GC,91457,475,39.28159509296529
STARS-GC,91457,500,39.28159509296529
STARS-GC,91457,525,39.28159509296529
