update,phase,reward_sum,processed_ratio_eval,drop_ratio_eval,D_sys_report,pre_backlog_steps_eval,collision_episode_fraction,training_seed
100,original,35.548807555343956,0.858988626585342,0.1158818275056115,42.69225139795223,23.630770988793586,0.0,45210
125,original,39.96318092662841,0.8947029344774782,0.0796962303685312,18.703996168111804,15.000644902944565,0.0,45210
150,original,42.22349840402603,0.9344532027468084,0.0500597550634182,13.76721499761124,11.086314696343612,0.0,45210
175,original,60.904117674566805,0.9871694085579364,0.0060089358303966,4.488387835934059,3.542482154832708,0.0,45210
200,original,93.78305441793054,0.99633343029581,0.0012934468058792,1.966149294078023,1.635648552223414,0.0,45210
225,original,104.78590880520642,0.9970824933433902,0.0009142795733472,1.5983565879553885,1.2813315673076255,0.0,45210
250,original,111.86485876934604,0.9968070016261188,0.0010701386549044,1.227925730729626,0.9931228930194104,0.0,45210
275,original,110.44763074023648,0.9984704113639892,0.0007056583208322,0.9021077895421208,0.742606933823526,0.0,45210
300,original,133.88248239038512,0.998247055316344,0.0009734394820284,0.7575961947919514,0.6157529834615604,0.0,45210
325,original,134.1329515944235,0.9985903719868512,0.0011462907015703,0.7641349178255954,0.6111496495841494,0.0,45210
350,original,141.31902069458738,0.998986927781254,0.0008725820414792,0.6800298941944518,0.5317895054750109,0.0,45210
375,original,148.16413150774315,0.9988651292696596,0.0007956737519734,0.667593580599207,0.5070121594867685,0.0,45210
400,original,156.76892443792894,0.9991391088441016,0.0007591215880354,0.5805484574876126,0.4377229846669105,0.0,45210
425,original,133.98813130240887,0.9983260366283356,0.0011256919912729,0.5986038428220949,0.4792971400313515,0.0,45210
450,original,163.49938803026453,0.9988404440842568,0.0007354463805381,0.4621827383482145,0.368198046449812,0.0,45210
475,original,167.57619363302365,0.999058489974588,0.0007488370062274,0.4342444813500851,0.3324570925432805,0.0,45210
500,original,167.48005629517138,0.9990599230136722,0.0006961987550457,0.4457917006026554,0.3372221000166572,0.0,45210
525,original,170.1720395963639,0.9990136237163098,0.0006960228485004,0.4215436820681751,0.3219425409755639,0.0,45210
550,original,170.01972158020362,0.9991858771666884,0.0006428520270992,0.4276892611245378,0.3205039842056499,0.0,45210
575,original,169.59474862460047,0.9991564490273592,0.0006488259337152,0.4193226863398998,0.3210360637816568,0.0,45210
600,original,171.71482929075137,0.9987017604131252,0.0006622079837834,0.4130931886066915,0.3139128134289042,0.0,45210
625,original,173.14573304913938,0.998865212652832,0.000670303534569,0.4079775352449248,0.3118146048425508,0.0,45210
650,original,174.26758540421724,0.9989301665276292,0.0006796689536179,0.3969314052961244,0.3063157968700387,0.0,45210
675,original,170.2675857772119,0.9985550608057528,0.0006144421086119,0.4520472771059258,0.3436193171391992,0.0,45210
700,original,70.40786484535784,0.9977413666527716,0.0007095374955097,0.7715542011902972,0.6493360430127614,0.0,45210
25,original,37.15326064708643,0.8580705161496167,0.0619923786876256,35.3128015363295,23.50237601191013,0.03125,61723
50,original,30.935213175835088,0.5394074682515867,0.2430609221419096,101.01351374016154,43.65406581528525,0.375,61723
75,original,34.36449012719095,0.7010077012133676,0.1631257983736338,72.75316365753778,35.088104860382806,0.0625,61723
100,original,37.67441592738032,0.7666543478779494,0.1022283403899375,69.9669188823998,36.81281350345908,0.0,61723
125,original,63.04156501265243,0.9922048503123224,0.0025488551664348,3.0648410561671064,2.2219122403680633,0.0,61723
150,original,62.21484096813947,0.991952404771,0.0013813202063302,3.451637193284726,2.2167131894384227,0.0,61723
175,original,60.27667785692029,0.995040212918073,0.0021053669287186,3.0420917602374105,1.5554345104500826,0.0,61723
200,original,79.49164063157514,0.9967102348972112,0.0007017151150048,1.4165494784261494,0.8937185790530503,0.0,61723
225,original,67.04574669990689,0.9975062016882004,0.0008514492163931,1.372378962482617,0.8561355942729281,0.0,61723
250,original,73.4332025765907,0.9977440482620148,0.0002162937146413,1.1885365205961278,0.7452621935340576,0.0,61723
275,original,99.93505314970388,0.997275263538584,0.00017985698556,0.9441697860395576,0.6421357489121674,0.0,61723
300,original,99.48632114334032,0.997688185609877,0.0002566735658023,0.8160042169510557,0.5839594164155416,0.0,61723
325,original,97.36240466847084,0.9982151151169092,0.0003200670904625,0.8026024314120713,0.5742000771765123,0.0,61723
350,original,110.59074975783004,0.9989439053609966,0.0002795278545982,0.770045273797959,0.5967293218800218,0.0,61723
375,original,64.86676314426586,0.9985726743265984,0.0004143168143018,1.0932825367653205,0.8918850300411433,0.0,61723
400,original,114.91024941485377,0.99860998182185,0.0003057477677211,0.6498732109326243,0.5154590369526689,0.0,61723
425,original,118.84448872180656,0.9982126193325968,0.0004520644187578,0.7359877641167268,0.5672358457183496,0.0,61723
450,original,117.2772851837799,0.9985289899930356,0.0002739857745036,0.5640882657230614,0.4583818083823712,0.0,61723
475,original,91.2476214945782,0.999340674530715,0.0004123424325152,0.933490957135953,0.7688407459324238,0.0,61723
500,original,100.06040098145604,0.9995021111275998,0.0003404640123626,0.7734705602459344,0.6503650205745105,0.0,61723
525,original,131.2735257553868,0.9994310038853436,0.0003212233991553,0.5193348620392458,0.439942693688977,0.0,61723
550,original,135.65706398850307,0.9992344938982278,0.0003083742698217,0.3752068701061564,0.3167908311555027,0.0,61723
575,original,149.9187901832629,0.9994321005586532,0.0002892573284234,0.4121370653953123,0.3472274974759117,0.0,61723
