update,checkpoint_suffix,episodes,reward_sum,bw_weighted_workload_delta_sum,bw_weighted_workload_level_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,x_acc_mean,x_rel_mean,g_pre_mean,d_pre_mean,sat_overlap_eval,collision_episode_fraction,fixed_reward_sum,fixed_bw_weighted_workload_delta_sum,fixed_bw_weighted_workload_level_sum,fixed_processed_ratio_eval,fixed_drop_ratio_eval,fixed_pre_backlog_steps_eval,fixed_D_sys_report,fixed_x_acc_mean,fixed_x_rel_mean,fixed_g_pre_mean,fixed_d_pre_mean,fixed_sat_overlap_eval,fixed_collision_episode_fraction,processed_improved,drop_improved,pre_backlog_improved,model_improved,quality_worsened,quality_worse_streak,reward_improved,reward_plateau_streak,collision_gate_passed,quality_early_stop_triggered,reward_early_stop_triggered,early_stop_triggered,method,training_seed,run_label
200,u0200,32.0,24.443853365257382,2479.0311567373574,-16236349.234488994,0.2296237352277507,0.6843065033553827,16.578564352489273,161.68824187463224,0.2296237323923742,0.2296237352277507,0.086072377881687,0.6843065033553827,0.8303071852641312,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
225,u0225,32.0,24.59073400357738,2295.697871543467,-30789966.107847244,0.2166498865330358,0.7048706331211724,16.870208297431468,171.71099159516768,0.2168173129380448,0.2166498865330358,0.0784817100296552,0.7048706331211724,0.8491041860561819,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
250,u0250,32.0,23.460077017662115,2135.005538992584,-60195888.60826646,0.2421543476235905,0.6697377950282439,16.45166132119175,128.90786702275545,0.2422881520955769,0.2421543476235905,0.0881096658604651,0.6697377950282439,0.8743791742068894,0.09375,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
275,u0275,32.0,22.892890304792672,2027.358749061823,-68129003.77798557,0.2424158465631951,0.6662163089349991,16.40933223791471,133.8781828102546,0.242545171367268,0.2424158465631951,0.0913712210804503,0.6662163089349991,0.7982952514092265,0.125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
300,u0300,32.0,23.74026273423806,2168.6318715140224,-62251474.60600212,0.2438244140305838,0.6675312429148584,16.379994380827892,142.61969371913804,0.2439196193760807,0.2438244140305838,0.0886472867863927,0.6675312429148584,0.7536408394717719,0.0625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
325,u0325,32.0,22.9150298233144,1967.6113322637975,-93843759.46035352,0.2475361353715529,0.6647352071896309,16.067989877251133,127.29277548448236,0.2489260864985689,0.2475361353715529,0.0877304110340324,0.6647352071896309,0.7017644325130445,0.125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
350,u0350,32.0,23.726282742223702,2059.307369876653,-129669350.4848094,0.2525553703049651,0.6637337243207001,16.556779279216205,125.01153778835148,0.2563209089983743,0.2525553703049651,0.083712810626304,0.6637337243207001,0.6148859566538925,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
375,u0375,32.0,24.022746343398467,2184.3061190247536,-99169688.93620688,0.2666027687207521,0.6560866268214723,16.00378184282924,119.46858003686228,0.2675198800283154,0.2666027687207521,0.0773135590201634,0.6560866268214723,0.709894584218771,0.0625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,STARS-GC,21893,seed21893_20260714_125530_bootstrapgae_nocompile
25,u0025,32.0,32.59115854580887,4174.395079135895,-196425.3957195878,0.4599206927428518,0.4739998942945057,14.19800206816401,37.35084243877887,0.460847779403739,0.4599206927428518,0.0660812189182906,0.4739998942945057,0.934646848330437,0.0625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,36467,seed36467_retry2_20260714_142500_bootstrapgae_nocompile
50,u0050,32.0,34.126361516537145,4217.054733134806,-185668.01624715328,0.4670341251292266,0.4772361064131,13.308996142700314,34.427188272897155,0.4674625764545053,0.4670341251292266,0.0557320072860966,0.4772361064131,0.9231250052116812,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,36467,seed36467_retry2_20260714_142500_bootstrapgae_nocompile
75,u0075,32.0,33.32590948138386,4008.251941591501,-145549.3284253627,0.491231998417423,0.4447156949227946,12.792186750342031,29.70542988163916,0.4915232781038309,0.491231998417423,0.0640545443623694,0.4447156949227946,0.8536238522393007,0.0625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,36467,seed36467_retry2_20260714_142500_bootstrapgae_nocompile
100,u0100,32.0,35.09097934514284,4114.683360829949,-131867.6055700034,0.5237892286783236,0.4186625217284183,12.58609956093089,28.40314155980715,0.5243024275143587,0.5237892286783236,0.0575505789252138,0.4186625217284183,0.7901768489879405,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,36467,seed36467_retry2_20260714_142500_bootstrapgae_nocompile
